userID;password;role;name;email
1;guard123;security;yuwei;yuwei@mail.com
2;ted123;tenant;ted;ted@gmail.com
3;qian123;vendor;qian;qian@gmail.com
4;log123;security;log;log@gmail.com
5;build123;buildingmanager;jia;jia@gmail.com
6;accexe123;accountexecutive;jia;jia@gmail.com
7;adminexe123;adminexecutive;jia;jia@gmail.com
8;8;buildingexecutive;bye;bye@mail.com
9;robert99;accountexecutive;Robert;robert99@gmail.com
10;stephanie;buildingexecutive;Stephanie;step@gmail.com
11;samsame;tenant;Sam;sam@gmail.com
12;worker2;employee;worker;worker@gmail.com
