name;phone;reason;checkInDateTime;checkOutDateTime
yuwei;012-3456789;to visit;yyyy-MM-dd HH:mm:ss;2023-03-02 02:30:33
yuwei's clone;012-3456789;to visit;yyyy-MM-dd HH:mm:ss;2023-03-01 21:41:05
1;11;11;2023-03-01 19:38:09;2023-03-02 02:28:13
222;222;222;2023-03-01 19:38:09;2023-03-01 21:50:12
tyt;yty;yty;2023-03-01 19:53:27;2023-03-01 21:58:44
yuwei;01156789;to stalk jia qian and thaddeus;2023-03-01 19:54:20;2023-03-02 02:30:33
Lee Yu Wei;uwu;onii chan;2023-03-02 02:00:44;2023-03-02 03:01:03
1;1;1;2023-03-02 02:27:53;2023-03-02 02:28:13
66;66;666;2023-03-02 03:24:10;
88;76;555;2023-03-03 00:30:24;2023-02-27 00:31:03
